Drug1,Drug2,VITAMINS,SYMPTOMS,vitamin_labels,combined_text,vitamin_inferred,inference_confidence
Trioxsalen,Verteporfin,"A,C,E","Dryskin,poornightvision,fatigue,easybruising","['A', 'C', 'E']","trioxsalen verteporfin dryskin,poornightvision,fatigue,easybruising",False,
Aminolevulinicacid,Verteporfin,"A,C,E","Skinsensitivity,gumbleeding,slowhealing","['A', 'C', 'E']","aminolevulinicacid verteporfin skinsensitivity,gumbleeding,slowhealing",False,
Titaniumdioxide,Verteporfin,"C,E","Muscleweakness,tiredness,fragileskin","['C', 'E']","titaniumdioxide verteporfin muscleweakness,tiredness,fragileskin",False,
Tiaprofenicacid,Verteporfin,"A,C","Crackedskin,swollengums,lowimmunity","['A', 'C']","tiaprofenicacid verteporfin crackedskin,swollengums,lowimmunity",False,
Cyamemazine,Verteporfin,"A,B2","Mouthcracks,sorethroat,eyesensitivity","['A', 'B2']","cyamemazine verteporfin mouthcracks,sorethroat,eyesensitivity",False,
Temoporfin,Verteporfin,"A,C,E","Visionissues,skinirritation,lowenergy","['A', 'C', 'E']","temoporfin verteporfin visionissues,skinirritation,lowenergy",False,
Methoxsalen,Verteporfin,"A,C,E","Dryeyes,inflamedskin,weakimmunity","['A', 'C', 'E']","methoxsalen verteporfin dryeyes,inflamedskin,weakimmunity",False,
Hexaminolevulinate,Verteporfin,"A,C,E","Fatigue,gumproblems,slowrecovery","['A', 'C', 'E']","hexaminolevulinate verteporfin fatigue,gumproblems,slowrecovery",False,
BenzopheNone,Verteporfin,"C,E","Weakmuscles,skinredness,tiredness","['C', 'E']","benzophenone verteporfin weakmuscles,skinredness,tiredness",False,
Riboflavin,Verteporfin,B2,"Crackedlips,glossitis,eyestrain",['B2'],"riboflavin verteporfin crackedlips,glossitis,eyestrain",False,
Carprofen,Verteporfin,"A,C","Frequentcolds,dryskin,gumsoreness","['A', 'C']","carprofen verteporfin frequentcolds,dryskin,gumsoreness",False,
Cyclophosphamide,Verteporfin,"A,E","Nervetingling,visionissues,weakimmunity","['A', 'E']","cyclophosphamide verteporfin nervetingling,visionissues,weakimmunity",False,
Paclitaxel,Verteporfin,"A,E","ness,dryskin,muscleweakness","['A', 'E']","paclitaxel verteporfin ness,dryskin,muscleweakness",False,
Docetaxel,Verteporfin,"A,E",",brittleskin,fatigue","['A', 'E']","docetaxel verteporfin ,brittleskin,fatigue",False,
Cabazitaxel,Verteporfin,"A,E","Nervepain,weakmuscles,visionstrain","['A', 'E']","cabazitaxel verteporfin nervepain,weakmuscles,visionstrain",False,
Aminolevulinicacid,Digoxin,B6,"Nervetingling,moodswings,crackedlips,lowenergy",['B6'],"aminolevulinicacid digoxin nervetingling,moodswings,crackedlips,lowenergy",False,
Temoporfin,Digoxin,D,"Bonepain,muscleweakness,feelingtired,lowimmunity",['D'],"temoporfin digoxin bonepain,muscleweakness,feelingtired,lowimmunity",False,
Cyclophosphamide,Digoxin,"B9,B12","Fatigue,paleskin,dizziness,ness,memoryissues",['B12'],"cyclophosphamide digoxin fatigue,paleskin,dizziness,ness,memoryissues",False,
Paclitaxel,Digoxin,"B1,B6","Nervepain,weakness,moodchanges,poorappetite","['B1', 'B6']","paclitaxel digoxin nervepain,weakness,moodchanges,poorappetite",False,
Docetaxel,Digoxin,"B1,B6","ness,burningfeet,hands,tiredness","['B1', 'B6']","docetaxel digoxin ness,burningfeet,hands,tiredness",False,
Cabazitaxel,Digoxin,"B1,B9","Weakness,headaches,poorconcentration",['B1'],"cabazitaxel digoxin weakness,headaches,poorconcentration",False,
Sulpiride,Digoxin,B6,"Irritability,nerveissues,lowmood",['B6'],"sulpiride digoxin irritability,nerveissues,lowmood",False,
Rifain,Digoxin,"D,B6","Bonepain,tiredness,depressionlikemood","['D', 'B6']","rifain digoxin bonepain,tiredness,depressionlikemood",False,
Phenytoin,Digoxin,"D,B9,B12","Boneweakness,memoryproblems,anemia,ness","['D', 'B12']","phenytoin digoxin boneweakness,memoryproblems,anemia,ness",False,
Rifampicin,Digoxin,D,"Weakness,bonepain,frequentinfections",['D'],"rifampicin digoxin weakness,bonepain,frequentinfections",False,
Fosphenytoin,Digoxin,"D,B9,B12","Fatigue,nerveproblems,brittlebones,paleskin","['D', 'B12']","fosphenytoin digoxin fatigue,nerveproblems,brittlebones,paleskin",False,
Carbamazepine,Digoxin,"D,B9","Bonepain,weakmuscles,tiredness,paleskin",['D'],"carbamazepine digoxin bonepain,weakmuscles,tiredness,paleskin",False,
Primidone,Digoxin,"D,B9,B12","ness,brittlebones,fatigue,poormemory","['D', 'B12']","primidone digoxin ness,brittlebones,fatigue,poormemory",False,
Phenobarbital,Digoxin,"D,B6,B9","Moodswings,nervepain,weakness,lowappetite","['D', 'B6']","phenobarbital digoxin moodswings,nervepain,weakness,lowappetite",False,
Pentobarbital,Digoxin,"D,B6","Boneweakness,tiredvibes,tinglinghands,feet","['D', 'B6']","pentobarbital digoxin boneweakness,tiredvibes,tinglinghands,feet",False,
Nevirapine,Digoxin,D,"Lowimmunity,bonepain,weakness",['D'],"nevirapine digoxin lowimmunity,bonepain,weakness",False,
Rifapentine,Digoxin,"D,B6","Fatigue,lowmood,bonediscomfort","['D', 'B6']","rifapentine digoxin fatigue,lowmood,bonediscomfort",False,
Rifaximin,Digoxin,"B2,B3","Dryskin,crackedlips,lowenergy",['B2'],"rifaximin digoxin dryskin,crackedlips,lowenergy",False,
Bosentan,Digoxin,B6,"Irritability,nervetingles,headaches",['B6'],"bosentan digoxin irritability,nervetingles,headaches",False,
Lumacaftor,Digoxin,D,"Weakmuscles,jointpain,gettingsickoften",['D'],"lumacaftor digoxin weakmuscles,jointpain,gettingsickoften",False,
Silodosin,Digoxin,B12,"Tiredness,dizziness,fingertips",['B12'],"silodosin digoxin tiredness,dizziness,fingertips",False,
Anagrelide,Digoxin,"B12,B9","Fatigue,paleskin,ness,shortnessofbreath",['B12'],"anagrelide digoxin fatigue,paleskin,ness,shortnessofbreath",False,
Carboplatin,Digoxin,"B1,B6,B12","Weakness,nervepain,tinglinghands,feet","['B1', 'B6', 'B12']","carboplatin digoxin weakness,nervepain,tinglinghands,feet",False,
Etacrynicacid,Digoxin,"K,Mg,B1","Cramps,irregularheartbeat,tiredness",['B1'],"etacrynicacid digoxin cramps,irregularheartbeat,tiredness",False,
Pirlindole,Digoxin,B6,"Irritability,nervetingles,moodswings",['B6'],"pirlindole digoxin irritability,nervetingles,moodswings",False,
Procarbazine,Digoxin,"B6,B9","Nerveissues,lowimmunity,fatigue",['B6'],"procarbazine digoxin nerveissues,lowimmunity,fatigue",False,
Acarbose,Digoxin,B12,"Weakness,dizziness,mouthsores",['B12'],"acarbose digoxin weakness,dizziness,mouthsores",False,
Sunitinib,Digoxin,"D,B1","Bonepain,muscleweakness,swelling,lowenergy","['D', 'B1']","sunitinib digoxin bonepain,muscleweakness,swelling,lowenergy",False,
Lanreotide,Digoxin,D,"Tiredness,bonediscomfort,lowimmunity",['D'],"lanreotide digoxin tiredness,bonediscomfort,lowimmunity",False,
Imatinib,Digoxin,"D,B1","Musclecramps,bonepain,lowstamina","['D', 'B1']","imatinib digoxin musclecramps,bonepain,lowstamina",False,
Crizotinib,Digoxin,"D,B12","Weakmuscles,ness,memoryproblems","['D', 'B12']","crizotinib digoxin weakmuscles,ness,memoryproblems",False,
Mitotane,Digoxin,"D,B","Bonepain,muscleweakness,fatigue,lowmood",['D'],"mitotane digoxin bonepain,muscleweakness,fatigue,lowmood",False,
Dienogest,Digoxin,"B12,B6","Tiredness,ness,tingle,moodswings,mouthsoreness","['B12', 'B6']","dienogest digoxin tiredness,ness,tingle,moodswings,mouthsoreness",False,
Olaparib,Digoxin,"B9,B12","Fatigue,pallor,memoryissues,",['B12'],"olaparib digoxin fatigue,pallor,memoryissues,",False,
Rucaparib,Digoxin,"B9,B12","Weakness,dizziness,poorconcentration,ness",['B12'],"rucaparib digoxin weakness,dizziness,poorconcentration,ness",False,
Midostaurin,Digoxin,"D,B","Musclecramps,fatigue,peripheralsigns",['D'],"midostaurin digoxin musclecramps,fatigue,peripheralsigns",False,
Medroxyprogesteroneacetate,Digoxin,D,"Bone,jointpain,lowenergy,susceptibilitytoinfections",['D'],"medroxyprogesteroneacetate digoxin bone,jointpain,lowenergy,susceptibilitytoinfections",False,
Bortezomib,Digoxin,"B1,B6,B12B","Peripheral,tingle,weakness,fatigue","['B1', 'B6']","bortezomib digoxin peripheral,tingle,weakness,fatigue",False,
Panobinostat,Digoxin,",B12,D","Fatigue,mouthsores,,boneache","['B12', 'D']","panobinostat digoxin fatigue,mouthsores,,boneache",False,
Betaxolol,Digoxin,"B12,","Fatigue,lightheadedness,",['B12'],"betaxolol digoxin fatigue,lightheadedness,",False,
Enzalutamide,Digoxin,D,"Bonepain,muscleweakness,lowenergy",['D'],"enzalutamide digoxin bonepain,muscleweakness,lowenergy",False,
Abiraterone,Digoxin,"D,B12","Bone,jointpain,fatigue,cognitivefog","['D', 'B12']","abiraterone digoxin bone,jointpain,fatigue,cognitivefog",False,
Diethylstilbestrol,Digoxin,D,"Boneweakening,fatigue,musclepain",['D'],"diethylstilbestrol digoxin boneweakening,fatigue,musclepain",False,
Nilotinib,Digoxin,"D,B12","Musclecramps,ness,tiredness","['D', 'B12']","nilotinib digoxin musclecramps,ness,tiredness",False,
Letrozole,Digoxin,D,"Bonepain,decreasedbonedensity,fatigue",['D'],"letrozole digoxin bonepain,decreasedbonedensity,fatigue",False,
Norfloxacin,Digoxin,B12,"Tiredness,hands,feet,dizziness",['B12'],"norfloxacin digoxin tiredness,hands,feet,dizziness",False,
Miltefosine,Digoxin,"B1,B6","Nervetingling,weakness,mooddrops","['B1', 'B6']","miltefosine digoxin nervetingling,weakness,mooddrops",False,
Trimetrexate,Digoxin,"B9,B12","Paleskin,fatigue,memoryissues",['B12'],"trimetrexate digoxin paleskin,fatigue,memoryissues",False,
Sirolimus,Digoxin,D,"Bonepain,lowenergy,slowhealing",['D'],"sirolimus digoxin bonepain,lowenergy,slowhealing",False,
Alprenolol,Digoxin,B12,"Lightheadedness,tiredvibes",['B12'],"alprenolol digoxin lightheadedness,tiredvibes",False,
Timolol,Digoxin,B12,"Fatigue,reducedalertness",['B12'],"timolol digoxin fatigue,reducedalertness",False,
Atenolol,Digoxin,B12,"ness,weakness,lowstamina",['B12'],"atenolol digoxin ness,weakness,lowstamina",False,
Celiprolol,Digoxin,B12,"Weakness,dizziness,tingling",['B12'],"celiprolol digoxin weakness,dizziness,tingling",False,
Oxprenolol,Digoxin,B12,"Lowenergy,nervetingles",['B12'],"oxprenolol digoxin lowenergy,nervetingles",False,
Metoprolol,Digoxin,B12,"Fatigue,brainfog",['B12'],"metoprolol digoxin fatigue,brainfog",False,
Esmolol,Digoxin,B12,"Tiredness,reducedfocus",['B12'],"esmolol digoxin tiredness,reducedfocus",False,
Pentostatin,Digoxin,",B12","Weakimmunity,fatigue,ness",['B12'],"pentostatin digoxin weakimmunity,fatigue,ness",False,
Reserpine,Digoxin,B6,"Moodswings,depressionlikesymptoms,nervetingles",['B6'],"reserpine digoxin moodswings,depressionlikesymptoms,nervetingles",False,
Thalidomide,Digoxin,"B1,B6,B12","ness,burningsensation,weakness","['B1', 'B6', 'B12']","thalidomide digoxin ness,burningsensation,weakness",False,
Clonidine,Digoxin,B12,"Fatigue,dizziness",['B12'],"clonidine digoxin fatigue,dizziness",False,
Pomalidomide,Digoxin,"B1,B6,B12","ness,weakness,tiredness","['B1', 'B6', 'B12']","pomalidomide digoxin ness,weakness,tiredness",False,
Cabergoline,Digoxin,B6,"Moodswings,tinglinghands,feet,lowenergy",['B6'],"cabergoline digoxin moodswings,tinglinghands,feet,lowenergy",False,
Moxifloxacin,Digoxin,"MgMg,D","Musclecramps,weakness,fatigue,lowimmunity",['D'],"moxifloxacin digoxin musclecramps,weakness,fatigue,lowimmunity",False,
Pazopanib,Digoxin,"D,B1,B6","Bonepain,,tiredness,muscleweakness","['D', 'B1', 'B6']","pazopanib digoxin bonepain,,tiredness,muscleweakness",False,
Lenvatinib,Digoxin,"B1,B6,D",",exhaustion,musclepain","['B1', 'B6', 'D']","lenvatinib digoxin ,exhaustion,musclepain",False,
